"FK","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","ID_KETERANGAN_TAMBAHAN","FG_UANG_MUKA","UANG_MUKA_DPP","UANG_MUKA_PPN","UANG_MUKA_PPNBM","REFERENSI"
"FK","2","0","0000000000206","7","2019","2019-01-15","NIK : 1371106506850007","YUNI KOSMETIK ( YUNI SURIYANTI )","Pasar Payakumbuh","834162.0999999999","83416.4","0","","0","0","0","0","19.000100"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02869","Cleansing Aqua Cool Milk (RSH 100)","31818.0","2","63636.0","11454.5","52181.5","5218.2","0","0","","","","","","","",""
"OF","02870","Cleansing Aqua Cool Lotion (RSH 101)","31818.0","2","63636.0","11454.5","52181.5","5218.2","0","0","","","","","","","",""
"OF","02871","Cleansing Aqua Cool Purifying Lotion (RSH 102)","31818.0","2","63636.0","11454.5","52181.5","5218.2","0","0","","","","","","","",""
"OF","02872","Cleansing Aqua Cool Purifying Milk (RSH 108)","35455.0","2","70910.0","12763.8","58146.2","5814.6","0","0","","","","","","","",""
"OF","02873","Cleansing Gentle Foaming Cream (RSH 103)","35455.0","2","70910.0","12763.8","58146.2","5814.6","0","0","","","","","","","",""
"OF","02881","Lip Care Volage Lips (RSH 145)","40909.0","2","81818.0","14727.2","67090.8","6709.1","0","0","","","","","","","",""
"OF","02882","Oily And Acne Purifying Foamin Gel (RSH 150)","35909.0","2","71818.0","12927.2","58890.8","5889.1","0","0","","","","","","","",""
"OF","02887","Sun Screen Total Sun Block Cream (RSH 170)","40909.0","3","122727.0","22090.9","100636.1","10063.6","0","0","","","","","","","",""
"OF","02912","Eye Brow Pencil Black (RMH 700)","38636.0","3","115908.0","20863.4","95044.6","9504.5","0","0","","","","","","","",""
"OF","02913","Eye Brow Pencil Brown (RMH 701)","38636.0","3","115908.0","20863.4","95044.6","9504.5","0","0","","","","","","","",""
"OF","02981","Refiil UV Lite Powdery Found 01 (RMH 510R)","44091.0","2","88182.0","15872.8","72309.2","7230.9","0","0","","","","","","","",""
"OF","02982","Refiil UV Lite Powdery Found 02 (RMH 511R)","44091.0","2","88182.0","15872.8","72309.2","7230.9","0","0","","","","","","","",""
"FK","2","0","0000000000207","7","2019","2019-01-15","-","Kontan ","-","95000.0","0.0","0","","0","0","0","0","MA.190008"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02713","Timbangan Injak ( GEA )","95000.0","1","95000.0","0.0","95000.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000208","7","2019","2019-01-15","NIK : 1371047105880003","SS STORE ( SHINTA YOSIA GUSTI )","Jln. Raya Siteba No.77 Padang","1501808.0","150180.9","0","","0","0","0","0","19.000101"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02957","New Exp Matte Lip Paint 02 (RMH 892)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02958","New Exp Matte Lip Paint 03 (RMH 893)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02959","New Exp Matte Lip Paint 04 (RMH 894)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02960","New Exp Matte Lip Paint 05 (RMH 895)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02961","New Exp Matte Lip Paint 06 (RMH 896)","53636.0","5","268180.0","53636.0","214544.0","21454.4","0","0","","","","","","","",""
"OF","02962","New Exp Matte Lip Paint 07 (RMH 897)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"FK","2","0","0000000000209","7","2019","2019-01-15","NIK : 1371045612940004","MAYBEAUTY ( ANANDA DIKLA MAWARDI )","Jln. Sisingamangaraja No.4 Padang
","853092.0","85309.2","0","","0","0","0","0","19.000102"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02880","Eye Care Eye Lift Gel (RSH 140)","40909.0","6","245454.0","49090.8","196363.2","19636.3","0","0","","","","","","","",""
"OF","02919","Mascara Exp Premium Black (RMH 763)","56818.0","3","170454.0","34090.8","136363.2","13636.3","0","0","","","","","","","",""
"OF","02921","Liquid Eye Liner Exp Perfect Brush Black (RMH 771A)","45000.0","3","135000.0","27000.0","108000.0","10800.0","0","0","","","","","","","",""
"OF","02976","UV Lite Powdery Found 01 (RMH 510)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"OF","02987","Care Powder Purifying 01(RMH 523)","49091.0","3","147273.0","29454.6","117818.4","11781.8","0","0","","","","","","","",""
"FK","2","0","0000000000210","7","2019","2019-01-15","NIK : 1371115302720004","TOKO YANTI ARIF ( HELMI YANTI )","Petak I D Pasar Lubuk Buaya Padang
","2872720.7999999993","287272.09999999986","0","","0","0","0","0","19.000103"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02869","Cleansing Aqua Cool Milk (RSH 100)","31818.0","2","63636.0","12727.2","50908.8","5090.9","0","0","","","","","","","",""
"OF","02870","Cleansing Aqua Cool Lotion (RSH 101)","31818.0","2","63636.0","12727.2","50908.8","5090.9","0","0","","","","","","","",""
"OF","02871","Cleansing Aqua Cool Purifying Lotion (RSH 102)","31818.0","2","63636.0","12727.2","50908.8","5090.9","0","0","","","","","","","",""
"OF","02872","Cleansing Aqua Cool Purifying Milk (RSH 108)","35455.0","2","70910.0","14182.0","56728.0","5672.8","0","0","","","","","","","",""
"OF","02873","Cleansing Gentle Foaming Cream (RSH 103)","35455.0","2","70910.0","14182.0","56728.0","5672.8","0","0","","","","","","","",""
"OF","02875","Deep Cleansing Double Action Pelling (RSH 110)","40909.0","3","122727.0","24545.4","98181.6","9818.2","0","0","","","","","","","",""
"OF","02882","Oily And Acne Purifying Foamin Gel (RSH 150)","35909.0","2","71818.0","14363.6","57454.4","5745.4","0","0","","","","","","","",""
"OF","02885","Whitening White Vitaly Cream (RSH 160)","44545.0","3","133635.0","26727.0","106908.0","10690.8","0","0","","","","","","","",""
"OF","02903","Eye Shadow Compact 03 (RMH 608)","54091.0","3","162273.0","32454.6","129818.4","12981.8","0","0","","","","","","","",""
"OF","02912","Eye Brow Pencil Black (RMH 700)","38636.0","3","115908.0","23181.6","92726.4","9272.6","0","0","","","","","","","",""
"OF","02913","Eye Brow Pencil Brown (RMH 701)","38636.0","6","231816.0","46363.2","185452.8","18545.3","0","0","","","","","","","",""
"OF","02919","Mascara Exp Premium Black (RMH 763)","56818.0","3","170454.0","34090.8","136363.2","13636.3","0","0","","","","","","","",""
"OF","02924","Lipstick  03 (RMH 802)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02925","Lipstick  04 (RMH 803)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02930","Lipstick  09 (RMH 808)","35909.0","2","71818.0","14363.6","57454.4","5745.4","0","0","","","","","","","",""
"OF","02934","Lipstick  13 (RMH 812)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02935","Lipstick  14 (RMH 813)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02936","Lipstick  15 (RMH 814)","35909.0","1","35909.0","7181.8","28727.2","2872.7","0","0","","","","","","","",""
"OF","02936","Lipstick  15 (RMH 814)","35909.0","2","71818.0","14363.6","57454.4","5745.4","0","0","","","","","","","",""
"OF","02939","Lipstick  18 (RMH 817)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02943","Lipstick  22 (RMH 821)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02957","New Exp Matte Lip Paint 02 (RMH 892)","53636.0","1","53636.0","10727.2","42908.8","4290.9","0","0","","","","","","","",""
"OF","02958","New Exp Matte Lip Paint 03 (RMH 893)","53636.0","2","107272.0","21454.4","85817.6","8581.8","0","0","","","","","","","",""
"OF","02959","New Exp Matte Lip Paint 04 (RMH 894)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02960","New Exp Matte Lip Paint 05 (RMH 895)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02962","New Exp Matte Lip Paint 07 (RMH 897)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02976","UV Lite Powdery Found 01 (RMH 510)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"OF","02982","Refiil UV Lite Powdery Found 02 (RMH 511R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02985","Refiil UV Lite Powdery Found 05 (RMH 514R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02987","Care Powder Purifying 01(RMH 523)","49091.0","3","147273.0","29454.6","117818.4","11781.8","0","0","","","","","","","",""
"FK","2","0","0000000000211","7","2019","2019-01-16","NIK :1371036412910004","LA NINA MAKE UP STORE ( CHRISTINE TEDJOSURYO )","Jln. Cokroaminoto No.34 Padang","1505821.7","150582.2","0","","0","0","0","0","19.000104"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03024","Eyeliner Gel Silver ","50000.0","4","200000.0","36000.0","164000.0","16400.0","0","0","","","","","","","",""
"OF","03039","Glam Rock foundation Stunning 01 ","136364.0","4","545456.0","98182.1","447273.9","44727.4","0","0","","","","","","","",""
"OF","03040","Glam Rock Foundation Enchanting 1.5 ","136364.0","4","545456.0","98182.1","447273.9","44727.4","0","0","","","","","","","",""
"OF","03042","Glam Rock Foundation Alluring 03 ","136364.0","4","545456.0","98182.1","447273.9","44727.4","0","0","","","","","","","",""
"FK","2","0","0000000000212","7","2019","2019-01-16","-","LENI SYAFNI","Padang","975000.0","0.0","0","","0","0","0","0","MA.190009"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00313","KURSI RODA SM-800 C","975000.0","1","975000.0","0.0","975000.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000213","7","2019","2019-01-17","00.073.444.2-202.000","RSUD. LUBUK BASUNG","Jl, Padang Baru Lubuk Basung","1.337655E8","1.337655E7","0","","0","0","0","0","19.000105"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00536","STERIL EYE DRAPE","66000.0","28","1848000.0","0.0","1848000.0","184800.0","0","0","","","","","","","",""
"OF","01275","Rohto Hyron 1 ml","363000.0","20","7260000.0","0.0","7260000.0","726000.0","0","0","","","","","","","",""
"OF","01560","CTA FOR ORAL CLINIC  8136","22500.0","50","1125000.0","0.0","1125000.0","112500.0","0","0","","","","","","","",""
"OF","01573","Carbachol ","78000.0","50","3900000.0","0.0","3900000.0","390000.0","0","0","","","","","","","",""
"OF","01672","Stab Knife 15 degree","203500.0","50","1.0175E7","0.0","1.0175E7","1017500.0","0","0","","","","","","","",""
"OF","02529","IOL Foldable Aspheris RAY61 PL 12.0","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02533","IOL Foldable Aspheris RAY61 PL 14.0","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02534","IOL Foldable Aspheris RAY61 PL 14.5","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02536","IOL Foldable Aspheris RAY61 PL 15.5","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02537","IOL Foldable Aspheris RAY61 PL 16.0","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02538","IOL Foldable Aspheris RAY61 PL 17.0","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02539","IOL Foldable Aspheris RAY61 PL 17.5","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02540","IOL Foldable Aspheris RAY61 PL 18.0","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02541","IOL Foldable Aspheris RAY61 PL 18.5","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02542","IOL Foldable Aspheris RAY61 PL 19.0","1275000.0","2","2550000.0","255000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","02543","IOL Foldable Aspheris RAY61 PL 19.5","1275000.0","3","3825000.0","382500.0","3442500.0","344250.0","0","0","","","","","","","",""
"OF","02544","IOL Foldable Aspheris RAY61 PL 20.0","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02545","IOL Foldable Aspheris RAY61 PL 20.5","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02546","IOL Foldable Aspheris RAY61 PL 21.0","1275000.0","7","8925000.0","892500.0","8032500.0","803250.0","0","0","","","","","","","",""
"OF","02547","IOL Foldable Aspheris RAY61 PL 21.5","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02548","IOL Foldable Aspheris RAY61 PL 22.0","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02549","IOL Foldable Aspheris RAY61 PL 22.5","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02550","IOL Foldable Aspheris RAY61 PL 23.0","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02551","IOL Foldable Aspheris RAY61 PL 23.5","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02552","IOL Foldable Aspheris RAY61 PL 24.5","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02553","IOL Foldable Aspheris RAY61 PL 24.0","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","02742","Slit Knife 2.75mm/Keratome","192500.0","50","9625000.0","0.0","9625000.0","962500.0","0","0","","","","","","","",""
"OF","03017","IOL Foldable Aspheris RAY61 PL 25.0","1275000.0","5","6375000.0","637500.0","5737500.0","573750.0","0","0","","","","","","","",""
"OF","03236","IOL Foldable Aspheris RAY61 PL 25.5","1275000.0","4","5100000.0","510000.0","4590000.0","459000.0","0","0","","","","","","","",""
"OF","03237","IOL Foldable Aspheris RAY61 PL 26.0","1275000.0","3","3825000.0","382500.0","3442500.0","344250.0","0","0","","","","","","","",""
"FK","2","0","0000000000214","7","2019","2019-01-17","-","RSUD DR. RASIDIN","Sei.Sapih Kec.Kuranji,Padang  ","1.38E7","1380000.0","0","","0","0","0","0","19.000106"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00173","FILM DI-HL 26X36","4600000.0","3","1.38E7","0.0","1.38E7","1380000.0","0","0","","","","","","","",""
"FK","2","0","0000000000215","7","2019","2019-01-17","NIK 1371092604740001","FERY RINALDI","Komp.Wisma Buana Indah III Blok C/L5 Korong Gadang Kuranji Padang","620000.0","0.0","0","","0","0","0","0","MA.190010"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03022","Eyeliner Gel Green ","55000.0","1","55000.0","11000.0","44000.0","0.0","0","0","","","","","","","",""
"OF","03024","Eyeliner Gel Silver ","55000.0","1","55000.0","11000.0","44000.0","0.0","0","0","","","","","","","",""
"OF","03025","Eyeliner Gel Gold ","55000.0","1","55000.0","11000.0","44000.0","0.0","0","0","","","","","","","",""
"OF","03034","Blush Me Up C.Flush 801 ","65000.0","1","65000.0","13000.0","52000.0","0.0","0","0","","","","","","","",""
"OF","03035","Blush Me Up Rossy Tint 802 ","65000.0","1","65000.0","13000.0","52000.0","0.0","0","0","","","","","","","",""
"OF","03036","Blush Me Up S.Bloom 803 ","65000.0","1","65000.0","13000.0","52000.0","0.0","0","0","","","","","","","",""
"OF","03037","Blush Me Up Pink .Lusture 804 ","65000.0","1","65000.0","13000.0","52000.0","0.0","0","0","","","","","","","",""
"OF","03038","Blush Me Up Luminious Glow  805 ","65000.0","1","65000.0","13000.0","52000.0","0.0","0","0","","","","","","","",""
"OF","03106","Eye Base Essentials","60000.0","2","120000.0","24000.0","96000.0","0.0","0","0","","","","","","","",""
"OF","03107","Countore Banana Pallete","110000.0","1","110000.0","22000.0","88000.0","0.0","0","0","","","","","","","",""
"OF","03155","Eyeliner Gel Coral White","55000.0","1","55000.0","11000.0","44000.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000216","7","2019","2019-01-17","-","RSI SITI RAHMAH","Jl. Raya By Pass KM 15 Air Pacah Padang","1047600.0","104760.0","0","","0","0","0","0","19.000107"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00548","SURGEON CAP GREEN H-332","116400.0","10","1164000.0","116400.0","1047600.0","104760.0","0","0","","","","","","","",""
"FK","2","0","0000000000217","7","2019","2019-01-17","03.024.693.8-2002.000","NIAGARA SWALAYAN PASAR BAWAH","Pasar Bawah Jln. Perintis Kemerdekaan No. 2 Bukittinggi","2486407.0","248640.7","0","","0","0","0","0","19.000108"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","36","306324.0","0.0","306324.0","30632.4","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","6","95460.0","0.0","95460.0","9546.0","0","0","","","","","","","",""
"OF","02169","Bio Placenta Body Lotion Kuning 500ml","14910.0","6","89460.0","0.0","89460.0","8946.0","0","0","","","","","","","",""
"OF","02172","Bio Placenta Body Lotion Orange 500ml","14910.0","6","89460.0","0.0","89460.0","8946.0","0","0","","","","","","","",""
"OF","02173","Bio Placenta Body  Lotion Putih 500ml","14910.0","6","89460.0","0.0","89460.0","8946.0","0","0","","","","","","","",""
"OF","02175","Nosy HS Btl Antibacterial 420ml Lemon","17345.0","6","104070.0","0.0","104070.0","10407.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","36","178704.0","0.0","178704.0","17870.4","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","20","90900.0","0.0","90900.0","9090.0","0","0","","","","","","","",""
"OF","02187","Nosy HS Btl Antibacterial 420ml Aloevera","17345.0","6","104070.0","0.0","104070.0","10407.0","0","0","","","","","","","",""
"OF","02188","Nosy HS  Pouch 420ml Aloevera","13882.0","12","166584.0","0.0","166584.0","16658.4","0","0","","","","","","","",""
"OF","02194","Nosy HS Btl Antibacterial 420ml Strawberry","17345.0","6","104070.0","0.0","104070.0","10407.0","0","0","","","","","","","",""
"OF","02195","Nosy HS  Pouch 420ml Lemon","13882.0","12","166584.0","0.0","166584.0","16658.4","0","0","","","","","","","",""
"OF","02217","Nosy HS  Pouch 420ml Strawberry","13882.0","10","138820.0","0.0","138820.0","13882.0","0","0","","","","","","","",""
"OF","02218","Nosy HS  Pouch 420ml Apple","13882.0","12","166584.0","0.0","166584.0","16658.4","0","0","","","","","","","",""
"OF","02439","BDL Bengkoang Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"OF","02440","BDL Papaya Body Lotion 600ml","18300.0","6","109800.0","0.0","109800.0","10980.0","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","5","22725.0","0.0","22725.0","2272.5","0","0","","","","","","","",""
"FK","2","0","0000000000218","7","2019","2019-01-17","74.581.689.2-202.000","MUTIARA STORE (CV Mutiara Store)","Jl.Simpang BY.Pass Taluak Ampek Suku Banuhampu","430299.0","43029.899999999994","0","","0","0","0","0","19.000109"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02163","BDL Olive Moisturizing  Body Scrub 200gr","17727.0","3","53181.0","0.0","53181.0","5318.1","0","0","","","","","","","",""
"OF","02167","BDL Avocado Moisturizing B Scrub 200gr","17727.0","3","53181.0","0.0","53181.0","5318.1","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","24","109080.0","0.0","109080.0","10908.0","0","0","","","","","","","",""
"OF","02669","Bio Plc Body Scrub With Pearl 200gr","17727.0","3","53181.0","0.0","53181.0","5318.1","0","0","","","","","","","",""
"FK","2","0","0000000000219","7","2019","2019-01-17","01.520.385.4-202.004","MASYITHAH SWALAYAN","Bukittinggi","684378.0","68437.8","0","","0","0","0","0","19.000110"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","24","119136.0","0.0","119136.0","11913.6","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","24","109080.0","0.0","109080.0","10908.0","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"FK","2","0","0000000000220","7","2019","2019-01-17","74.893.469.2-202.000","HOKI STORE (CV)","JL. Soekarno Hatta Simp. Ganting Bukittinggi","953937.0","95393.69999999997","0","","0","0","0","0","19.000111"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","6","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02161","BDL Bengkoang Whitening Body Scrub 200gr","17727.0","3","53181.0","0.0","53181.0","5318.1","0","0","","","","","","","",""
"OF","02163","BDL Olive Moisturizing  Body Scrub 200gr","17727.0","3","53181.0","0.0","53181.0","5318.1","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02169","Bio Placenta Body Lotion Kuning 500ml","14910.0","1","14910.0","0.0","14910.0","1491.0","0","0","","","","","","","",""
"OF","02172","Bio Placenta Body Lotion Orange 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02173","Bio Placenta Body  Lotion Putih 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02175","Nosy HS Btl Antibacterial 420ml Lemon","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","6","29784.0","0.0","29784.0","2978.4","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","6","27270.0","0.0","27270.0","2727.0","0","0","","","","","","","",""
"OF","02187","Nosy HS Btl Antibacterial 420ml Aloevera","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02188","Nosy HS  Pouch 420ml Aloevera","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","02194","Nosy HS Btl Antibacterial 420ml Strawberry","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02195","Nosy HS  Pouch 420ml Lemon","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","02218","Nosy HS  Pouch 420ml Apple","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","02441","BDL Bengkoang Body Wash 245ml","17018.0","3","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02442","BDL Papaya Body Wash 245ml","17018.0","3","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02466","BDL Avocado Body Wash 245ml","17018.0","3","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02476","BDL Mangosteen  Body Wash 245ml","17018.0","3","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02477","BDL Olive Moisturizing Body Wash 245ml","17018.0","3","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","6","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"FK","2","0","0000000000221","7","2019","2019-01-17","03.024.693.8-2002.000","NIAGARA SWALAYAN PADANG LUA","Padang Lua Jln. Raya Bukittinggi KM 3 No.10","1095265.0","109526.50000000001","0","","0","0","0","0","19.000112"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02171","Bio Placenta Body Lotion Green Tea 500ml","14910.0","6","89460.0","0.0","89460.0","8946.0","0","0","","","","","","","",""
